Likes and Reactions,Followed Accounts,Time Spent Online (hrs/weekday),Time Spent Online (hrs/weekend),Click-Through Rates (CTR),Conversion Rates,Ad Interaction Time (sec),DIY Crafts,Data Science,Digital Marketing,Eco-Friendly Living,Fashion Modelling,Fitness and Wellness,Gaming,Gardening,Gourmet Cooking,Investing and Finance,Music Production,Pet Care,Photography,Reading and Literature,Software Engineering,Travel and Adventure,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65+,Gender_Male,Location_Suburban,Location_Urban,Language_Hindi,Language_Mandarin,Language_Spanish,Education Level_High School,Education Level_Master,Education Level_PhD,Education Level_Technical,Device Usage_Mobile + Desktop,Device Usage_Mobile Only,Device Usage_Tablet,Income Level_100k+,Income Level_20k-40k,Income Level_40k-60k,Income Level_60k-80k,Income Level_80k-100k,Segment
4017,190,2.0,7.5,0.145,0.054,154,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,2
7180,42,1.0,5.4,0.236,0.073,81,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,3
8711,80,2.2,3.8,0.203,0.012,146,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,0
3036,65,0.7,2.8,0.185,0.061,90,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,0
3962,114,4.6,7.9,0.184,0.07,34,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,3
9742,209,3.5,7.9,0.045,0.045,176,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,1
5749,110,5.0,7.5,0.206,0.024,170,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,0
3361,265,4.5,6.5,0.069,0.088,174,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
9456,316,2.6,3.3,0.233,0.074,56,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,1
1919,83,2.8,6.7,0.091,0.09,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,1
1442,180,1.4,3.9,0.214,0.082,124,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,2
5660,386,2.6,3.3,0.067,0.099,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,2
2326,152,4.6,6.2,0.129,0.019,166,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,1
1179,175,0.7,1.6,0.027,0.009,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0
4306,408,4.4,1.3,0.165,0.034,45,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,1
6380,270,2.0,4.1,0.209,0.013,125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,1
7335,230,4.5,4.1,0.18,0.052,112,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,1
913,92,4.7,7.3,0.131,0.063,169,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,0
5189,191,3.5,1.9,0.011,0.058,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,2
2131,316,3.5,1.9,0.233,0.026,122,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1
8614,19,2.5,2.0,0.176,0.091,83,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,0
9195,405,4.3,1.2,0.186,0.002,164,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
9833,13,4.8,1.5,0.199,0.035,12,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,0
6011,360,4.0,5.6,0.187,0.072,101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,1
2753,411,3.3,4.0,0.11,0.077,22,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1
3440,345,3.2,6.3,0.183,0.042,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,1
7976,497,4.3,7.9,0.156,0.002,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,2
1241,301,2.9,5.6,0.214,0.062,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,1
9141,290,4.1,1.4,0.201,0.006,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,1
8658,224,2.8,1.7,0.01,0.011,131,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,2
2997,469,0.8,7.2,0.095,0.065,78,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,0
9381,107,2.2,4.7,0.009,0.031,130,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,2
4141,429,2.5,6.8,0.026,0.035,168,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,1
2138,110,1.1,7.0,0.15,0.049,155,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,1
4370,460,1.0,7.5,0.218,0.098,172,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,2
4783,18,2.9,7.6,0.03,0.097,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
594,70,0.9,4.9,0.113,0.042,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,3
7216,318,1.9,3.4,0.228,0.027,28,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0
1884,155,3.9,7.7,0.204,0.03,149,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,2
3610,436,4.8,4.8,0.13,0.027,99,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
3886,428,3.7,1.4,0.193,0.053,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,2
5366,72,5.0,5.5,0.131,0.061,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1
9290,130,3.6,5.1,0.04,0.049,129,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,1
5528,235,1.8,7.3,0.031,0.041,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,1
6781,114,3.5,5.6,0.047,0.021,19,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,1
6993,471,3.7,3.4,0.088,0.048,105,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,2
9743,269,2.2,7.8,0.233,0.034,19,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,1
4758,358,0.6,6.6,0.2,0.054,157,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,1
7182,434,3.7,5.4,0.108,0.068,57,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,1
